Delegation,Delegation_AR,Total_Pixels,Total_Buildings,Low_Pixels,Medium_Pixels,High_Pixels,VeryHigh_Pixels,Low_Percent,Medium_Percent,High_Percent,VeryHigh_Percent,Buildings_Low,Buildings_Medium,Buildings_High,Buildings_VeryHigh,Risk_Score,High_VeryHigh_Percent
El Ksar,القصر,224451,925,20963,15306,102625,85557,9.339677702482946,6.819305772752182,45.722674436736746,38.11834208802812,0,0,14,911,0.7815492022757751,83.84101652476487
Gafsa Sud,قفصة الجنوبية,777167,5792,58986,225400,244548,248233,7.589874505736862,29.002775465247495,31.46659598258804,31.940754046427603,0,1,12,5779,0.7193955739242659,63.407350029015646
Redeyef,الرديف,503565,2787,129556,115559,174315,84135,25.727761063616416,22.948179480305424,34.616186589616035,16.707872866462125,3,10,128,2646,0.6057604281473097,51.32405945607816
Mdhila,المضيلة,730736,1788,142724,265233,216468,106311,19.531540802697553,36.29669264960259,29.62328392196361,14.548482625736243,4,25,219,1540,0.5979717709268464,44.17176654769985
Sidi Aich,سيدي عيش,487954,1115,82946,216321,121510,67177,16.99873348717297,44.332252630370895,24.901937477713062,13.76707640474307,194,701,174,46,0.5885933920000656,38.669013882456134
Gafsa Nord,قفصة الشمالية,641429,4,118921,266804,172052,83652,18.540009884180478,41.595250604509616,26.82323374839616,13.041505762913744,0,4,0,0,0.5859155884751079,39.86473951130991
Metlaoui,المتلوي,1476795,2152,449953,405730,399442,221670,30.46820987340829,27.47368456691687,27.04789764320708,15.010207916467756,6,18,8,2120,0.5665002590068358,42.058105559674836
Sned,السند,2233,3589,354,1362,455,62,15.853112404836542,60.99417823555755,20.37617554858934,2.7765338110165696,0,0,0,0,0.5251903269144649,23.15270935960591
El Guettar,القطار,591235,5186,227562,157524,134984,71165,38.48926399824097,26.64321293563473,22.830854059722444,12.036669006401853,0,9,342,2691,0.5210373201857129,34.8675230661243
Oum El Araies,أم العرائس,1096573,276,507196,313101,171692,104584,46.252825849259466,28.552681855197967,15.657142752922057,9.53734954262051,20,23,40,193,0.47119753997225905,25.194492295542567
